"","model","cutpoint","sens","sens.lcl","sens.ucl","spec","spec.lcl","spec.ucl","auc","auc.lcl","auc.ucl","FN","FP","TP","TN","mcc","Gene","Scenario"
"1","NewRFModel",0.359,0.830985915492958,0.727408720013665,0.900585452475717,0.82962962962963,0.75731226038474,0.883706645322225,0.890871152842984,0.836591359823822,0.945150945862145,12,23,59,112,0.641397228227618,"BRCA2",1
"2","NewVoteModel-Training",3,0.818181818181818,0.656117683653301,0.913892317910593,0.714285714285714,0.599498034182797,0.806777796212802,0.896103896103896,0.828940766950114,0.963267025257679,6,20,27,50,0.49883415179152,"BRCA2",1
"3","NewVoteModel-Validation",4,0.815789473684211,0.665811419288686,0.907782348147787,0.861538461538462,0.757319027536548,0.925409095968463,0.898380566801619,0.835517263193804,0.961243870409435,7,9,31,56,0.670574746265012,"BRCA2",1
"4","NewVoteModel-Both",4,0.788732394366197,0.680250217837942,0.867574485823009,0.874074074074074,0.807577153078034,0.919871268005151,0.900312989045383,0.856164619995094,0.944461358095673,15,17,56,118,0.658560299393361,"BRCA2",1
"5","NewRFModel",0.427,0.793478260869565,0.699821860863966,0.863608628033603,0.789473684210526,0.705827530550671,0.854247002304737,0.870661708619375,0.821302727795293,0.920020689443456,19,24,73,90,0.58060394040295,"BRCA2",2
"6","NewVoteModel-Training",4,0.895833333333333,0.778325783056137,0.954678280958187,0.781818181818182,0.6562996597816,0.87053975958877,0.886742424242424,0.823718818152751,0.949766030332097,5,12,43,43,0.677651515151515,"BRCA2",2
"7","NewVoteModel-Validation",5,0.863636363636364,0.732905469514845,0.935970455024441,0.847457627118644,0.734820162162264,0.917615360014035,0.895030816640986,0.832756819328867,0.957304813953105,6,9,38,50,0.706214142090418,"BRCA2",2
"8","NewVoteModel-Both",5,0.793478260869565,0.699821860863966,0.863608628033603,0.850877192982456,0.774116058983086,0.904762162659832,0.889540427154844,0.845224173860435,0.933856680449252,19,17,73,97,0.645835032043147,"BRCA2",2
"9","NewRFModel",0.306,0.864406779661017,0.929658253274663,NA,0.864406779661017,0.907160174327168,NA,0.92114334961218,0.88420114245372,0.958085556770641,8,24,51,153,0.677774949365627,"BRCA1",1
"10","NewVoteModel-Training",8,0.875,0.719316945183498,0.950298656125199,0.86046511627907,0.771763027000877,0.918341528444285,0.920421511627907,0.864693994850585,0.976149028405229,4,12,28,74,0.690731077617162,"BRCA1",1
"11","NewVoteModel-Validation",10,0.851851851851852,0.662689135975756,0.958112603526233,0.912087912087912,0.834108298252604,0.961278497714293,0.934065934065934,0.890773272326431,0.977358595805437,4,8,23,83,0.729157288312574,"BRCA1",1
"12","NewVoteModel-Both",9,0.830508474576271,0.71536779263512,0.90524160650819,0.898305084745763,0.844987572498592,0.934700895618681,0.926027003734559,0.890632421875915,0.961421585593204,10,18,49,159,0.699919880351994,"BRCA1",1
"13","NewRFModel",0.38,0.8375,0.741570956593023,0.902501805970497,0.833333333333333,0.766994979262828,0.883649733112228,0.915785256410256,0.876024220819842,0.955546292000671,13,26,67,130,0.649848968592781,"BRCA1",2
"14","NewVoteModel-Training",5,0.80952380952381,0.666992259899613,0.900179917183523,0.815789473684211,0.714217378910891,0.88697404104797,0.887687969924812,0.822375486928097,0.953000452921527,8,14,34,62,0.609479997250586,"BRCA1",2
"15","NewVoteModel-Validation",7,0.815789473684211,0.665811419288686,0.907782348147787,0.9,0.814893111938959,0.948452384432619,0.946217105263158,0.90807278955025,0.984361420976066,7,8,31,72,0.711010885959937,"BRCA1",2
"16","NewVoteModel-Both",6,0.8375,0.741570956593023,0.902501805970497,0.891025641025641,0.83241549550414,0.930840801705061,0.917948717948718,0.880130243631314,0.955767192266122,13,17,67,139,0.720262322994782,"BRCA1",2
"74","NewVoteModel-Validation",10,0.851851851851852,0.662689135975756,0.958112603526233,0.912087912087912,0.834108298252604,0.961278497714293,0.934065934065934,0.890773272326431,0.977358595805437,4,8,23,83,0.729157288312574,"BRCA1",1
"44","NewVoteModel-Both",6,0.8375,0.741570956593023,0.902501805970497,0.891025641025641,0.83241549550414,0.930840801705061,0.917948717948718,0.880130243631314,0.955767192266122,13,17,67,139,0.720262322994782,"BRCA1",2
"316","NewVoteModel-Validation",7,0.815789473684211,0.665811419288686,0.907782348147787,0.9,0.814893111938959,0.948452384432619,0.946217105263158,0.90807278955025,0.984361420976066,7,8,31,72,0.711010885959937,"BRCA1",2
"117","NewVoteModel-Validation",5,0.863636363636364,0.732905469514845,0.935970455024441,0.847457627118644,0.734820162162264,0.917615360014035,0.895030816640986,0.832756819328867,0.957304813953105,6,9,38,50,0.706214142090418,"BRCA2",2
"154","NewVoteModel-Validation",5,0.863636363636364,0.732905469514845,0.935970455024441,0.847457627118644,0.734820162162264,0.917615360014035,0.895030816640986,0.832756819328867,0.957304813953105,6,9,38,50,0.706214142090418,"BRCA2",2
"84","NewVoteModel-Both",9,0.830508474576271,0.71536779263512,0.90524160650819,0.898305084745763,0.844987572498592,0.934700895618681,0.926027003734559,0.890632421875915,0.961421585593204,10,18,49,159,0.699919880351994,"BRCA1",1
"64","NewVoteModel-Training",8,0.875,0.719316945183498,0.950298656125199,0.86046511627907,0.771763027000877,0.918341528444285,0.920421511627907,0.864693994850585,0.976149028405229,4,12,28,74,0.690731077617162,"BRCA1",1
"33","Vest3Rankscore",0.85546,0.864406779661017,0.754603391934627,0.929658253274663,0.864406779661017,0.806171828418422,0.907160174327168,0.89978933256727,0.849205738369941,0.950372926764598,8,24,51,153,0.677774949365627,"BRCA1",1
"34","Vest3Score",0.868,0.864406779661017,0.754603391934627,0.929658253274663,0.864406779661017,0.806171828418422,0.907160174327168,0.89978933256727,0.849205738369941,0.950372926764598,8,24,51,153,0.677774949365627,"BRCA1",1
"54","NewRFModel",0.306,0.864406779661017,0.929658253274663,NA,0.864406779661017,0.907160174327168,NA,0.92114334961218,0.88420114245372,0.958085556770641,8,24,51,153,0.677774949365627,"BRCA1",1
"104","NewVoteModel-Training",4,0.895833333333333,0.778325783056137,0.954678280958187,0.781818181818182,0.6562996597816,0.87053975958877,0.886742424242424,0.823718818152751,0.949766030332097,5,12,43,43,0.677651515151515,"BRCA2",2
"144","NewVoteModel-Training",4,0.895833333333333,0.778325783056137,0.954678280958187,0.781818181818182,0.6562996597816,0.87053975958877,0.886742424242424,0.823718818152751,0.949766030332097,5,12,43,43,0.677651515151515,"BRCA2",2
"222","PERCH",0.295957,0.845070422535211,0.743490371467224,0.911226957298302,0.844444444444444,0.773879711409637,0.895949032756068,0.892227438706312,0.845599051121031,0.938855826291593,11,21,60,114,0.670875879000023,"BRCA2",1
"194","NewVoteModel-Validation",4,0.815789473684211,0.665811419288686,0.907782348147787,0.861538461538462,0.757319027536548,0.925409095968463,0.898380566801619,0.835517263193804,0.961243870409435,7,9,31,56,0.670574746265012,"BRCA2",1
"118","a_gvgd_prior",0.66,0.813559322033898,0.696210495530373,0.892572780579947,0.887005649717514,0.831916821186035,0.925652825140677,0.88346260653069,0.833323625410266,0.933601587651115,11,20,48,157,0.669810514337236,"BRCA1",1
"193","PERCH",0.232796,0.83695652173913,0.74827157015312,0.898630102284831,0.833333333333333,0.754308164573317,0.890626145987455,0.887204424103738,0.841267242591744,0.933141605615731,15,19,77,95,0.668000867664633,"BRCA2",2
"110","a_gvgd_prior",0.29,0.825,0.727424580211687,0.892793635590221,0.852564102564103,0.788478913844756,0.899702993475015,0.868429487179487,0.818560942073666,0.918298032285309,14,23,66,133,0.66176533041562,"BRCA1",2
"204","NewVoteModel-Both",4,0.788732394366197,0.680250217837942,0.867574485823009,0.874074074074074,0.807577153078034,0.919871268005151,0.900312989045383,0.856164619995094,0.944461358095673,15,17,56,118,0.658560299393361,"BRCA2",1
"331","Vest3Rankscore",0.80056,0.8375,0.741570956593023,0.902501805970497,0.83974358974359,0.77412524778901,0.889031862900951,0.882572115384615,0.831515065559426,0.933629165209804,13,25,67,131,0.657320286677537,"BRCA1",2
"341","Vest3Score",0.812,0.8375,0.741570956593023,0.902501805970497,0.83974358974359,0.77412524778901,0.889031862900951,0.882572115384615,0.831515065559426,0.933629165209804,13,25,67,131,0.657320286677537,"BRCA1",2
"211","PERCH_noMAF",0.136713,0.8375,0.741570956593023,0.902501805970497,0.833333333333333,0.766994979262828,0.883649733112228,0.853525641025641,0.797090058002727,0.909961224048555,13,26,67,130,0.649848968592781,"BRCA1",2
"116","NewRFModel",0.38,0.8375,0.741570956593023,0.902501805970497,0.833333333333333,0.766994979262828,0.883649733112228,0.915785256410256,0.876024220819842,0.955546292000671,13,26,67,130,0.649848968592781,"BRCA1",2
"203","PERCH_noMAF",0.191916,0.826086956521739,0.736015573177872,0.890018303374983,0.824561403508772,0.744499944631838,0.883462410387861,0.886727688787185,0.841315897111008,0.932139480463363,16,20,76,94,0.648426446791388,"BRCA2",2
"124","NewVoteModel-Both",5,0.793478260869565,0.699821860863966,0.863608628033603,0.850877192982456,0.774116058983086,0.904762162659832,0.889540427154844,0.845224173860435,0.933856680449252,19,17,73,97,0.645835032043147,"BRCA2",2
"164","NewVoteModel-Both",5,0.793478260869565,0.699821860863966,0.863608628033603,0.850877192982456,0.774116058983086,0.904762162659832,0.889540427154844,0.845224173860435,0.933856680449252,19,17,73,97,0.645835032043147,"BRCA2",2
"232","PERCH_noMAF",0.272149,0.830985915492958,0.727408720013665,0.900585452475717,0.82962962962963,0.75731226038474,0.883706645322225,0.879707876890976,0.830890811653072,0.928524942128879,12,23,59,112,0.641397228227618,"BRCA2",1
"174","NewRFModel",0.359,0.830985915492958,0.727408720013665,0.900585452475717,0.82962962962963,0.75731226038474,0.883706645322225,0.890871152842984,0.836591359823822,0.945150945862145,12,23,59,112,0.641397228227618,"BRCA2",1
"201","PERCH",0.186764,0.825,0.727424580211687,0.892793635590221,0.826923076923077,0.75989390320279,0.878238410857362,0.852363782051282,0.797233630653346,0.907493933449218,14,27,66,129,0.631530244681183,"BRCA1",2
"216","NewVoteModel-Training",5,0.80952380952381,0.666992259899613,0.900179917183523,0.815789473684211,0.714217378910891,0.88697404104797,0.887687969924812,0.822375486928097,0.953000452921527,8,14,34,62,0.609479997250586,"BRCA1",2
"20","PERCH",0.23931,0.830508474576271,0.71536779263512,0.90524160650819,0.830508474576271,0.768356820398566,0.878618716975342,0.872689840084267,0.820412204666184,0.92496747550235,10,30,49,147,0.606543373672297,"BRCA1",1
"21","PERCH_noMAF",0.203638,0.830508474576271,0.71536779263512,0.90524160650819,0.830508474576271,0.768356820398566,0.878618716975342,0.869960739251173,0.81395058079609,0.925970897706256,10,30,49,147,0.606543373672297,"BRCA1",1
"311","SiftConvertedRankscore",0.91219,0.8625,0.770328999330134,0.921452856756609,0.762820512820513,0.690261705886353,0.82274662502475,0.83056891025641,0.782393323192752,0.878744497320069,11,37,69,119,0.595093709129269,"BRCA1",2
"371","SiftScore",0,0.8625,0.770328999330134,0.921452856756609,0.762820512820513,0.690261705886353,0.82274662502475,0.83056891025641,0.782393323192752,0.878744497320069,11,37,69,119,0.595093709129269,"BRCA1",2
"28","Polyphen2HvarRankscore",0.91584,0.813559322033898,0.696210495530373,0.892572780579947,0.830508474576271,0.768356820398566,0.878618716975342,0.887292923489419,0.844904874150335,0.929680972828503,11,30,48,147,0.592882155443582,"BRCA1",1
"29","Polyphen2HvarScore",0.999,0.813559322033898,0.696210495530373,0.892572780579947,0.830508474576271,0.768356820398566,0.878618716975342,0.887292923489419,0.844904874150335,0.929680972828503,11,30,48,147,0.592882155443582,"BRCA1",1
"323","Vest3Rankscore",0.7831,0.793478260869565,0.699821860863966,0.863608628033603,0.798245614035088,0.715417130547684,0.861629357848796,0.858171243325706,0.805976954335904,0.910365532315508,19,23,73,91,0.589703184171652,"BRCA2",2
"333","Vest3Score",0.793,0.793478260869565,0.699821860863966,0.863608628033603,0.798245614035088,0.715417130547684,0.861629357848796,0.858171243325706,0.805976954335904,0.910365532315508,19,23,73,91,0.589703184171652,"BRCA2",2
"94","NewRFModel",0.427,0.793478260869565,0.699821860863966,0.863608628033603,0.789473684210526,0.705827530550671,0.854247002304737,0.870661708619375,0.821302727795293,0.920020689443456,19,24,73,90,0.58060394040295,"BRCA2",2
"134","NewRFModel",0.427,0.793478260869565,0.699821860863966,0.863608628033603,0.789473684210526,0.705827530550671,0.854247002304737,0.870661708619375,0.821302727795293,0.920020689443456,19,24,73,90,0.58060394040295,"BRCA2",2
"141","MetasvmRankscore",0.8874,0.8,0.699537562718292,0.872971559560392,0.801282051282051,0.731758375065298,0.856324345735234,0.856370192307692,0.803953268004593,0.908787116610792,16,31,64,125,0.580382319374108,"BRCA1",2
"151","MetasvmScore",0.3759,0.8,0.699537562718292,0.872971559560392,0.801282051282051,0.731758375065298,0.856324345735234,0.856370192307692,0.803953268004593,0.908787116610792,16,31,64,125,0.580382319374108,"BRCA1",2
"261","Polyphen2HdivRankscore",0.89865,0.85,0.755867714386767,0.912059594938365,0.756410256410256,0.683418838733485,0.817077093862712,0.827363782051282,0.77812929530749,0.876598268795074,12,38,68,118,0.57709753853028,"BRCA1",2
"271","Polyphen2HdivScore",1,0.85,0.755867714386767,0.912059594938365,0.756410256410256,0.683418838733485,0.817077093862712,0.827363782051282,0.77812929530749,0.876598268795074,12,38,68,118,0.57709753853028,"BRCA1",2
"281","Polyphen2HvarRankscore",0.85043,0.7875,0.685778442694033,0.862876132823039,0.807692307692308,0.738754013665459,0.861841105449978,0.87119391025641,0.821975910984517,0.920411909528304,17,30,63,126,0.57657407294639,"BRCA1",2
"291","Polyphen2HvarScore",0.997,0.7875,0.685778442694033,0.862876132823039,0.807692307692308,0.738754013665459,0.861841105449978,0.87119391025641,0.821975910984517,0.920411909528304,17,30,63,126,0.57657407294639,"BRCA1",2
"101","GerpRs",4.83,0.7875,0.685778442694033,0.862876132823039,0.801282051282051,0.731758375065298,0.856324345735234,0.822516025641026,0.763563706262917,0.881468345019134,17,31,63,125,0.569316480598401,"BRCA1",2
"111","GerpRsRankscore",0.61659,0.7875,0.685778442694033,0.862876132823039,0.801282051282051,0.731758375065298,0.856324345735234,0.822516025641026,0.763563706262917,0.881468345019134,17,31,63,125,0.569316480598401,"BRCA1",2
"145","MetasvmRankscore",0.9083,0.813559322033898,0.696210495530373,0.892572780579947,0.807909604519774,0.743581553444609,0.859156340348177,0.885952312553864,0.84412491659778,0.927779708509948,11,34,48,143,0.565151352385685,"BRCA1",1
"155","MetasvmScore",0.5201,0.813559322033898,0.696210495530373,0.892572780579947,0.807909604519774,0.743581553444609,0.859156340348177,0.885952312553864,0.84412491659778,0.927779708509948,11,34,48,143,0.565151352385685,"BRCA1",1
"361","LrtConvertedRankscore",0.38483,0.7875,0.685778442694033,0.862876132823039,0.788461538461538,0.717838210577854,0.845219713592868,0.844110576923077,0.792808927005595,0.895412226840559,17,33,63,123,0.555010425849999,"BRCA1",2
"391","LrtScore",0.001618,0.7875,0.685778442694033,0.862876132823039,0.788461538461538,0.717838210577854,0.845219713592868,0.841426282051282,0.788314361480841,0.894538202621723,17,33,63,123,0.555010425849999,"BRCA1",2
"162","MetasvmRankscore",0.93181,0.788732394366197,0.680250217837942,0.867574485823009,0.785185185185185,0.708526992138211,0.846062398192534,0.872300469483568,0.822634380797169,0.921966558169967,15,29,56,106,0.554042956790443,"BRCA2",1
"172","MetasvmScore",0.7002,0.788732394366197,0.680250217837942,0.867574485823009,0.785185185185185,0.708526992138211,0.846062398192534,0.872300469483568,0.822634380797169,0.921966558169967,15,29,56,106,0.554042956790443,"BRCA2",1
"115","MetalrRankscore",0.91514,0.771739130434783,0.6761168171795,0.84557807994788,0.771929824561403,0.686791544138177,0.839339077635085,0.840675057208238,0.787144385708476,0.894205728708,21,26,71,88,0.541479173728758,"BRCA2",2
"123","MetalrScore",0.751,0.771739130434783,0.6761168171795,0.84557807994788,0.771929824561403,0.686791544138177,0.839339077635085,0.840675057208238,0.787144385708476,0.894205728708,21,26,71,88,0.541479173728758,"BRCA2",2
"31","SiftConvertedRankscore",0.91219,0.915254237288136,0.816482047325897,0.963257966982363,0.706214689265537,0.635302970188752,0.768365527488986,0.828353921286986,0.785736439812079,0.870971402761894,5,52,54,125,0.541012686225555,"BRCA1",1
"35","SiftScore",0,0.915254237288136,0.816482047325897,0.963257966982363,0.706214689265537,0.635302970188752,0.768365527488986,0.828353921286986,0.785736439812079,0.870971402761894,5,52,54,125,0.541012686225555,"BRCA1",1
"142","MetalrRankscore",0.92107,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.871465832029212,0.821831100207406,0.921100563851019,16,30,55,105,0.533295301982438,"BRCA2",1
"152","MetalrScore",0.7679,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.871465832029212,0.821831100207406,0.921100563851019,16,30,55,105,0.533295301982438,"BRCA2",1
"352","Vest3Rankscore",0.79963,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.833176838810642,0.774698342103858,0.891655335517425,16,30,55,105,0.533295301982438,"BRCA2",1
"362","Vest3Score",0.811,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.833176838810642,0.774698342103858,0.891655335517425,16,30,55,105,0.533295301982438,"BRCA2",1
"26","Polyphen2HdivRankscore",0.89865,0.898305084745763,0.795361863737675,0.952552027537595,0.700564971751412,0.629415138415384,0.763193948367073,0.822464808962942,0.779231184943128,0.865698432982756,6,53,53,124,0.521339497635535,"BRCA1",1
"27","Polyphen2HdivScore",1,0.898305084745763,0.795361863737675,0.952552027537595,0.700564971751412,0.629415138415384,0.763193948367073,0.822464808962942,0.779231184943128,0.865698432982756,6,53,53,124,0.521339497635535,"BRCA1",1
"105","GerpRs",5.06,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.819783587091832,0.759081657952473,0.880485516231191,12,39,47,138,0.518495139130856,"BRCA1",1
"119","GerpRsRankscore",0.67646,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.819783587091832,0.759081657952473,0.880485516231191,12,39,47,138,0.518495139130856,"BRCA1",1
"37","LrtConvertedRankscore",0.41015,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.841424877908647,0.791201885743449,0.891647870073845,12,39,47,138,0.518495139130856,"BRCA1",1
"39","LrtScore",0.000926,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.842334578186345,0.791995924553433,0.892673231819257,12,39,47,138,0.518495139130856,"BRCA1",1
"273","Polyphen2HvarRankscore",0.97092,0.728260869565217,0.629581470079452,0.808642243507547,0.789473684210526,0.705827530550671,0.854247002304737,0.823560259344012,0.770458109141915,0.87666240954611,25,24,67,90,0.518303180584992,"BRCA2",2
"283","Polyphen2HvarScore",1,0.728260869565217,0.629581470079452,0.808642243507547,0.789473684210526,0.705827530550671,0.854247002304737,0.823560259344012,0.770458109141915,0.87666240954611,25,24,67,90,0.518303180584992,"BRCA2",2
"181","MutationtasterConvertedRankscore",0.81033,0.975,0.91335567014422,0.993117106797029,0.551282051282051,0.472935723971265,0.627163462547975,0.768509615384615,0.72738737049274,0.80963186027649,2,70,78,86,0.515173668925256,"BRCA1",2
"301","ProveanConvertedRankscore",0.65469,0.7625,0.658592210661594,0.842353271332254,0.769230769230769,0.697124498024712,0.828396231201295,0.868309294871795,0.823689614668089,0.9129289750755,19,36,61,120,0.51157088250534,"BRCA1",2
"302","Polyphen2HvarRankscore",0.97092,0.788732394366197,0.680250217837942,0.867574485823009,0.740740740740741,0.660882754519734,0.807277120434791,0.809702660406886,0.756933360005073,0.862471960808699,15,35,56,100,0.506722713453277,"BRCA2",1
"313","Polyphen2HvarScore",1,0.788732394366197,0.680250217837942,0.867574485823009,0.740740740740741,0.660882754519734,0.807277120434791,0.809702660406886,0.756933360005073,0.862471960808699,15,35,56,100,0.506722713453277,"BRCA2",1
"210","CaddPhred",24.8,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838261217948718,0.785334352465453,0.891188083431983,19,37,61,119,0.504636978323427,"BRCA1",2
"310","CaddRaw",4.809989,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838221153846154,0.785281872738345,0.891160434953963,19,37,61,119,0.504636978323427,"BRCA1",2
"41","CaddRawRankscore",0.64548,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838221153846154,0.785281872738345,0.891160434953963,19,37,61,119,0.504636978323427,"BRCA1",2
"30","ProveanConvertedRankscore",0.69906,0.779661016949153,0.658673006323629,0.86645802372071,0.779661016949153,0.713020574860883,0.834420264455501,0.874221966867758,0.82810759478061,0.920336338954906,13,39,46,138,0.504517959680373,"BRCA1",1
"253","Polyphen2HdivRankscore",0.89865,0.956521739130435,0.893483143447011,0.982964283726986,0.508771929824561,0.418224097904579,0.598747857636494,0.736556064073226,0.686364448890895,0.786747679255558,4,56,88,58,0.504308620433817,"BRCA2",2
"263","Polyphen2HdivScore",1,0.956521739130435,0.893483143447011,0.982964283726986,0.508771929824561,0.418224097904579,0.598747857636494,0.736556064073226,0.686364448890895,0.786747679255558,4,56,88,58,0.504308620433817,"BRCA2",2
"133","MetasvmRankscore",0.92273,0.75,0.652711858782475,0.827247446574714,0.754385964912281,0.667934047346671,0.824252663344445,0.845585430968726,0.79336953740542,0.897801324532032,23,28,69,86,0.502354407054565,"BRCA2",2
"143","MetasvmScore",0.6284,0.75,0.652711858782475,0.827247446574714,0.754385964912281,0.667934047346671,0.824252663344445,0.845585430968726,0.79336953740542,0.897801324532032,23,28,69,86,0.502354407054565,"BRCA2",2
"43","Condel_score",0.857,0.746835443037975,0.64105740562726,0.829721363303082,0.755102040816326,0.661408890322578,0.82955029839085,0.812064066132782,0.749894068215431,0.874234064050133,20,24,59,74,0.500003724961492,"BRCA2",2
